TIME,SEGMENT_ID,SPEED,STREET,DIRECTION,FROM,TO,LENGTH,HEADING,COMMENTS,BUSCOUNT,MESSAGECOUNT,HOUR,DAYOFWEEK,MONTH,RECORDID,LATITUDE,LONGITUDE,ENDLATITUDE,ENDLONGITUDE,STARTLOCATION,ENDLOCATION,Wards
3/21/2018 16:20,412,18,79th,EB,Dr Martin L King Jr,Cottage Grove,0.5,E,,3,32,16,4,3,0412-201803212120,41.75101415,-87.6149133,41.75111561,-87.60519125,POINT (-87.6149133035 41.7510141454),POINT (-87.6051912535 41.7511156124),32
3/21/2018 16:20,413,21,79th,EB,Cottage Grove,Woodlawn,0.5,E,,3,18,16,4,3,0413-201803212120,41.75111561,-87.60519125,41.75117524,-87.59541535,POINT (-87.6051912535 41.7511156124),POINT (-87.5954153468 41.7511752428),35
3/21/2018 16:20,414,25,79th,EB,Woodlawn,Stony Island,0.49,E,,3,26,16,4,3,0414-201803212120,41.75117524,-87.59541535,41.75131643,-87.58580117,POINT (-87.5954153468 41.7511752428),POINT (-87.5858011703 41.7513164293),35
3/21/2018 16:20,605,19,Lake Shore Dr,SE,51st,55th,0.53,S,,3,21,16,4,3,0605-201803212120,41.80274051,-87.58175849,41.79522045,-87.57937497,POINT (-87.5817584885 41.8027405099),POINT (-87.5793749691 41.7952204517),33
3/21/2018 16:20,606,51,Lake Shore Dr,SE,47th,51st,0.68,S,,4,7,16,4,3,0606-201803212120,41.8107941,-87.58928579,41.80274051,-87.58175849,POINT (-87.5892857918 41.8107941007),POINT (-87.5817584885 41.8027405099),10
3/21/2018 16:20,607,54,Lake Shore Dr,SE,43rd,47th,0.53,S,,4,7,16,4,3,0607-201803212120,41.81694916,-87.59527575,41.81094506,-87.58898418,POINT (-87.5952757493 41.8169491631),POINT (-87.5889841751 41.8109450575),10
3/21/2018 16:20,608,55,Lake Shore Dr,SE,Oakwood,43rd,0.64,S,,5,6,16,4,3,0608-201803212120,41.82529953,-87.60055934,41.81693772,-87.59505632,POINT (-87.6005593398 41.8252995274),POINT (-87.5950563226 41.8169377172),10
3/21/2018 16:20,609,54,Lake Shore Dr,SE,31st,Oakwood,1,S,,7,15,16,4,3,0609-201803212120,41.83857406,-87.60853482,41.82529953,-87.60055934,POINT (-87.6085348206 41.8385740621),POINT (-87.6005593398 41.8252995274),10
3/21/2018 16:20,610,55,Lake Shore Dr,SE,I-55 Expy,31st,0.75,S,,6,13,16,4,3,0610-201803212120,41.84897864,-87.61282307,41.83857406,-87.60853482,POINT (-87.6128230691 41.8489786419),POINT (-87.6085348206 41.8385740621),10
3/21/2018 16:20,611,55,Lake Shore Dr,SE,18th,Stevenson Expy,0.65,S,,4,7,16,4,3,0611-201803212120,41.85796276,-87.61678594,41.84897864,-87.61282307,POINT (-87.6167859369 41.8579627613),POINT (-87.6128230691 41.8489786419),10
3/21/2018 16:20,1281,20,Columbus,SB,Illinois,Randolph,0.45,N,,2,6,16,4,3,1281-201803212120,41.891002,-87.620424,41.884414,-87.620742,POINT (-87.620424 41.891002),POINT (-87.620742 41.884414),36
3/21/2018 16:20,1282,17,Fairbanks,NB,Illinois,Chicago,0.4,N,,10,31,16,4,3,1282-201803212120,41.891002,-87.620124,41.896785,-87.620269,POINT (-87.620124 41.891002),POINT (-87.620269 41.896785),36
3/21/2018 16:20,1283,12,Fairbanks,SB,Chicago,Illinois,0.4,N,,9,49,16,4,3,1283-201803212120,41.896785,-87.620469,41.891002,-87.620324,POINT (-87.620469 41.896785),POINT (-87.620324 41.891002),11
3/21/2018 16:20,398,16,Western,SB,Fullerton,Milwaukee,0.55,N,,4,31,16,4,3,0398-201803212120,41.92490172,-87.68782564,41.91680646,-87.68757241,POINT (-87.6878256352 41.9249017152),POINT (-87.6875724135 41.9168064565),41
3/21/2018 16:20,399,20,Western,SB,Kennedy Expy,Fullerton,0.2,N,,5,13,16,4,3,0399-201803212120,41.92798284,-87.68793359,41.92490172,-87.68782564,POINT (-87.6879335859 41.9279828403),POINT (-87.6878256352 41.9249017152),41
3/21/2018 16:20,400,17,Western,SB,Diversey,Kennedy Expy,0.3,N,,5,24,16,4,3,0400-201803212120,41.93218016,-87.68806644,41.92798284,-87.68793359,POINT (-87.6880664353 41.9321801597),POINT (-87.6879335859 41.9279828403),20
3/21/2018 16:20,401,31,Western,SB,Belmont,Diversey,0.5,N,,3,10,16,4,3,0401-201803212120,41.93946185,-87.68834859,41.93218016,-87.68806644,POINT (-87.6883485854 41.9394618483),POINT (-87.6880664353 41.9321801597),18
3/21/2018 16:20,402,24,Western,SB,Addison,Belmont,0.5,N,,1,3,16,4,3,0402-201803212120,41.94673184,-87.68844151,41.93946185,-87.68834859,POINT (-87.6884415055 41.9467318416),POINT (-87.6883485854 41.9394618483),18
3/21/2018 16:20,403,25,Western,SB,Irving Park,Addison,0.5,N,,1,7,16,4,3,0403-201803212120,41.95401377,-87.68865004,41.94673184,-87.68844151,POINT (-87.6886500432 41.954013773),POINT (-87.6884415055 41.9467318416),18
3/21/2018 16:20,404,33,Western,SB,Montrose,Irving Park,0.5,N,,2,5,16,4,3,0404-201803212120,41.96131388,-87.68886682,41.95401377,-87.68865004,POINT (-87.6888668215 41.9613138803),POINT (-87.6886500432 41.954013773),18
3/21/2018 16:20,405,18,Western,SB,Lawrence,Montrose,0.5,N,,4,15,16,4,3,0405-201803212120,41.96861596,-87.68909043,41.96131388,-87.68886682,POINT (-87.689090429 41.9686159566),POINT (-87.6888668215 41.9613138803),24
3/21/2018 16:20,406,24,Western,SB,Foster,Lawrence,0.5,N,,6,35,16,4,3,0406-201803212120,41.97589257,-87.68933457,41.96861596,-87.68909043,POINT (-87.6893345677 41.9758925735),POINT (-87.689090429 41.9686159566),24
3/21/2018 16:20,407,23,Western,SB,Bryn Mawr,Foster,0.5,N,,5,26,16,4,3,0407-201803212120,41.98316872,-87.68963222,41.97589257,-87.68933457,POINT (-87.6896322236 41.983168718),POINT (-87.6893345677 41.9758925735),24
3/21/2018 16:20,408,20,Western,SB,Peterson,Bryn Mawr,0.5,N,,2,14,16,4,3,0408-201803212120,41.99050103,-87.68985646,41.98316872,-87.68963222,POINT (-87.6898564646 41.9905010348),POINT (-87.6896322236 41.983168718),24
3/21/2018 16:20,573,18,Cicero,NB,Harrison,Madison,0.51,S,,2,13,16,4,3,0573-201803212120,41.87313826,-87.74480742,41.88049469,-87.74507418,POINT (-87.7448074201 41.8731382595),POINT (-87.7450741768 41.8804946946),14
3/21/2018 16:20,574,22,Cicero,NB,Madison,Kinzie,0.51,S,,1,8,16,4,3,0574-201803212120,41.88049469,-87.74507418,41.88792051,-87.74534035,POINT (-87.7450741768 41.8804946946),POINT (-87.7453403489 41.8879205051),23
3/21/2018 16:20,575,18,Cicero,NB,Kinzie,Chicago,0.49,N,,1,7,16,4,3,0575-201803212120,41.88792051,-87.74534035,41.8949856,-87.74562845,POINT (-87.7453403489 41.8879205051),POINT (-87.7456284502 41.8949856048),23
3/21/2018 16:20,576,18,Cicero,NB,Chicago,Division,0.51,N,,1,14,16,4,3,0576-201803212120,41.8949856,-87.74562845,41.90234154,-87.74580249,POINT (-87.7456284502 41.8949856048),POINT (-87.7458024865 41.9023415361),23
3/21/2018 16:20,577,23,Cicero,NB,Division,North Ave,0.5,N,,1,8,16,4,3,0577-201803212120,41.90234154,-87.74580249,41.90962769,-87.74590288,POINT (-87.7458024865 41.9023415361),POINT (-87.7459028831 41.9096276932),45
3/21/2018 16:20,578,52,Lake Shore Dr,NW,47th,43rd,0.53,S,,4,4,16,4,3,0578-201803212120,41.81094268,-87.58861739,41.81694681,-87.59490893,POINT (-87.5886173859 41.8109426802),POINT (-87.5949089327 41.8169468056),10
3/21/2018 16:20,579,53,Lake Shore Dr,NW,43rd,Oakwood,0.64,S,,4,6,16,4,3,0579-201803212120,41.81693536,-87.59468951,41.82529719,-87.60019246,POINT (-87.5946895061 41.816935359),POINT (-87.6001924641 41.8252971863),10
3/21/2018 16:20,580,52,Lake Shore Dr,NW,Oakwood,31st,1,S,,5,11,16,4,3,0580-201803212120,41.82529719,-87.60019246,41.83857175,-87.60816788,POINT (-87.6001924641 41.8252971863),POINT (-87.6081678831 41.838571746),10
3/21/2018 16:20,581,54,Lake Shore Dr,NW,31st,I-55 Expy,0.75,S,,3,4,16,4,3,0581-201803212120,41.83857175,-87.60816788,41.84897634,-87.61245607,POINT (-87.6081678831 41.838571746),POINT (-87.6124560681 41.848976339),10
3/21/2018 16:20,582,53,Lake Shore Dr,NW,I-55 Expy,18th,0.65,S,,7,10,16,4,3,0582-201803212120,41.84897634,-87.61245607,41.85796047,-87.61641887,POINT (-87.6124560681 41.848976339),POINT (-87.6164188659 41.8579604705),10
3/21/2018 16:20,583,41,Lake Shore Dr,NW,18TH,Roosevelt,0.67,S,,6,12,16,4,3,0583-201803212120,41.85796047,-87.61641887,41.8674651,-87.61867114,POINT (-87.6164188659 41.8579604705),POINT (-87.6186711362 41.8674650997),10
3/21/2018 16:20,584,16,Lake Shore Dr,NE,Roosevelt,Balbo,0.41,N,,2,9,16,4,3,0584-201803212120,41.8674651,-87.61867114,41.87325521,-87.61712898,POINT (-87.6186711362 41.8674650997),POINT (-87.6171289792 41.8732552139),10
3/21/2018 16:20,586,14,Lake Shore Dr,NB,Balbo,Monroe,0.53,S,,2,12,16,4,3,0586-201803212120,41.87325521,-87.61712898,41.88091652,-87.61730448,POINT (-87.61712898 41.87325521),POINT (-87.61730448 41.88091652),10
3/21/2018 16:20,587,35,Lake Shore Dr,NE,Monroe,Randolph,0.3,N,,4,5,16,4,3,0587-201803212120,41.88091652,-87.61730448,41.88438769,-87.61386137,POINT (-87.6173044795 41.8809165183),POINT (-87.6138613722 41.8843876871),36
3/21/2018 16:20,589,23,Lake Shore Dr,NB,Randolph,Grand,0.51,N,,4,13,16,4,3,0589-201803212120,41.88438769,-87.61386137,41.8918983,-87.61390637,POINT (-87.61386137 41.88438769),POINT (-87.61390637 41.8918983),36
3/21/2018 16:20,591,30,Lake Shore Dr,NW,Grand,Oak St,0.69,N,,4,14,16,4,3,0591-201803212120,41.8918983,-87.61390637,41.90097877,-87.61952598,POINT (-87.61390637 41.8918983),POINT (-87.61952598 41.90097877),36
3/21/2018 16:20,592,37,Lake Shore Dr,NW,Oak St,Division,0.32,N,,5,5,16,4,3,0592-201803212120,41.90097877,-87.61952598,41.90399607,-87.62428733,POINT (-87.6195259779 41.9009787676),POINT (-87.6242873281 41.9039960653),11
3/21/2018 16:20,593,46,Lake Shore Dr,NW,Division,North Ave,0.51,N,,5,6,16,4,3,0593-201803212120,41.90399607,-87.62428733,41.91133018,-87.62578106,POINT (-87.6242873281 41.9039960653),POINT (-87.6257810568 41.9113301795),11
